"filename", "language", "C++", "JSON", "YAML", "Dart", "JavaScript", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\config.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 29
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\constants.dart", "Dart", 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 86, 34, 374
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\functions.js", "JavaScript", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 26, 370
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\uber_cars.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 35
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\address.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\car_model.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 94
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\directions.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 50
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\driver_model.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 89
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\nearby_drivers.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 64
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\person_model.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 148
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\predictions.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\ride_request_model.dart", "Dart", 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 247
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\uber_car_model.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\user_model.dart", "Dart", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 135
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\login_screen.dart", "Dart", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 176
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\phone_verify_screen.dart", "Dart", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 26, 30, 336
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\signup_screen.dart", "Dart", 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 308
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\verify_email.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 106
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\about_us.dart", "Dart", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 238
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\profile_screen.dart", "Dart", 0, 0, 0, 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 484
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\trips.dart", "Dart", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 279
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\Ride Screen\pay_cash_dialog.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 74
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\collapsed_panel.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 114
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\google_maps_screen.dart", "Dart", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 137
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\home_screen.dart", "Dart", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 319
